continent,location,population,population_density,median_age,aged_65_older,life_expectancy,gdp_per_capita,extreme_poverty
North America,Panama,4381583,55.133,29.7,7.918,78.51,22267.037,2.2
Oceania,Papua New Guinea,9119005,18.22,22.6,3.808,64.5,3823.194,NA
South America,Paraguay,7219641,17.144,26.5,6.378,74.25,8827.01,1.7
South America,Peru,33359415,25.129,29.1,7.151,76.74,12236.706,3.5
Asia,Philippines,111046910,351.873,25.2,4.803,71.23,7599.188,NA
Oceania,Pitcairn,47,NA,NA,NA,NA,NA,NA
Europe,Poland,37797000,124.027,41.8,16.763,78.73,27216.445,NA
Europe,Portugal,10167923,112.371,46.2,21.502,82.05,27936.896,0.5
Asia,Qatar,2930524,227.322,31.9,1.307,80.23,116935.6,NA
Europe,Romania,19127772,85.129,43,17.85,76.05,23313.199,5.7
Europe,Russia,145912022,8.823,39.6,14.178,72.58,24765.954,0.1
Africa,Rwanda,13276517,494.869,20.3,2.974,69.02,1854.211,56
Africa,Saint Helena,6095,NA,NA,NA,80.56,NA,NA
North America,Saint Kitts and Nevis,53546,212.865,NA,NA,76.23,24654.385,NA
North America,Saint Lucia,184401,293.187,34.9,9.721,76.2,12951.839,NA
North America,Saint Vincent and the Grenadines,111269,281.787,31.8,7.724,72.53,10727.146,NA
Oceania,Samoa,200144,69.413,22,5.606,73.32,6021.557,NA
Europe,San Marino,34010,556.667,NA,NA,84.97,56861.47,NA
Africa,Sao Tome and Principe,223364,212.841,18.7,2.886,70.39,3052.714,32.3
Asia,Saudi Arabia,35340680,15.322,31.9,3.295,75.13,49045.411,NA
Africa,Senegal,17196308,82.328,18.7,3.008,67.94,2470.58,38
Europe,Serbia,6871547,80.291,41.2,17.366,76,14048.881,NA
Africa,Seychelles,98910,208.354,36.2,8.606,73.4,26382.287,1.1
Africa,Sierra Leone,8141343,104.7,19.1,2.538,54.7,1390.3,52.2
Asia,Singapore,5453600,7915.731,42.4,12.922,83.62,85535.383,NA
North America,Sint Maarten (Dutch part),43421,1209.088,NA,NA,78.95,36327.232,NA
Europe,Slovakia,5460726,113.128,41.2,15.07,77.54,30155.152,0.7
Europe,Slovenia,2078723,102.619,44.5,19.062,81.32,31400.84,NA
Oceania,Solomon Islands,703995,21.841,20.8,3.507,73,2205.923,25.1
Africa,Somalia,16359500,23.5,16.8,2.731,57.4,NA,NA
Africa,South Africa,60041996,46.754,27.3,5.344,64.13,12294.876,18.9
NA,South America,434260137,NA,NA,NA,NA,NA,NA
Asia,South Korea,51305184,527.967,43.4,13.914,83.03,35938.374,0.2
Africa,South Sudan,11381377,NA,19.2,3.441,57.85,1569.888,NA
Europe,Spain,46745211,93.105,45.5,19.436,83.56,34272.36,1
Asia,Sri Lanka,21497306,341.955,34.1,10.069,76.98,11669.077,0.7
Africa,Sudan,44909351,23.258,19.7,3.548,65.31,4466.507,NA
South America,Suriname,591798,3.612,29.6,6.933,71.68,13767.119,NA
Europe,Sweden,10160159,24.718,41,19.985,82.8,46949.283,0.5
Europe,Switzerland,8715494,214.243,43.1,18.436,83.78,57410.166,NA
Asia,Syria,18275704,NA,21.7,NA,72.7,NA,NA
Asia,Taiwan,23855008,NA,42.2,NA,80.46,NA,NA
Asia,Tajikistan,9749625,64.281,23.3,3.466,71.1,2896.913,4.8
Africa,Tanzania,61498438,64.699,17.7,3.108,65.46,2683.304,49.1
Asia,Thailand,69950844,135.132,40.1,11.373,77.15,16277.671,0.1
Asia,Timor,1343875,87.176,18,3.556,69.5,6570.102,30.3
Africa,Togo,8478242,143.366,19.4,2.839,61.04,1429.813,49.2
Oceania,Tokelau,1368,NA,NA,NA,81.86,NA,NA
Oceania,Tonga,106759,150.028,22.3,5.82,70.91,5425.621,NA
North America,Trinidad and Tobago,1403374,266.886,36.2,10.014,73.51,28763.071,NA
Africa,Tunisia,11935764,74.228,32.7,8.001,76.7,10849.297,2
